trip_date,group,period,trips,avg_fare,avg_cbd_fee
2024-04-26,CBD-bound (treated),Pre,61925,26.283638110617677,0.0
2024-04-26,Manhattan control,Pre,38538,23.71692796720139,0.0
2024-04-27,CBD-bound (treated),Pre,69278,24.0535169895205,0.0
2024-04-27,Manhattan control,Pre,36422,22.889169458020067,0.0
2024-04-28,CBD-bound (treated),Pre,54102,24.908562899708095,0.0
2024-04-28,Manhattan control,Pre,31258,24.1748416405402,0.0
2024-04-29,CBD-bound (treated),Pre,50583,27.02035881620323,0.0
2024-04-29,Manhattan control,Pre,34442,24.136945589687183,0.0
2024-04-30,CBD-bound (treated),Pre,60614,25.865773253703857,0.0
2024-04-30,Manhattan control,Pre,39837,23.40893189748239,0.0
2024-05-01,CBD-bound (treated),Pre,66362,26.50858428016044,0.0
2024-05-01,Manhattan control,Pre,42964,24.237476724699864,0.0
2024-05-02,CBD-bound (treated),Pre,74132,26.740501402902996,0.0
2024-05-02,Manhattan control,Pre,45099,24.216165325173684,0.0
2024-05-03,CBD-bound (treated),Pre,70841,26.03638232097235,0.0
2024-05-03,Manhattan control,Pre,43433,23.58317017014735,0.0
2024-05-04,CBD-bound (treated),Pre,80205,23.83765800137156,0.0
2024-05-04,Manhattan control,Pre,40331,22.85899382608924,0.0
2024-05-05,CBD-bound (treated),Pre,67617,25.034520017155625,0.0
2024-05-05,Manhattan control,Pre,37369,24.157055045626233,0.0
2024-05-06,CBD-bound (treated),Pre,54077,28.373180834735763,0.0
2024-05-06,Manhattan control,Pre,36693,25.264859782519896,0.0
2024-05-07,CBD-bound (treated),Pre,63972,27.210423153879866,0.0
2024-05-07,Manhattan control,Pre,43326,24.069889904445475,0.0
2024-05-08,CBD-bound (treated),Pre,70029,27.222864955946875,0.0
2024-05-08,Manhattan control,Pre,44523,24.432182242885823,0.0
2024-05-09,CBD-bound (treated),Pre,74963,26.999113696090145,0.0
2024-05-09,Manhattan control,Pre,47729,24.74109597938373,0.0
2024-05-10,CBD-bound (treated),Pre,75197,26.014668537308705,0.0
2024-05-10,Manhattan control,Pre,49138,24.16724856526532,0.0
2024-05-11,CBD-bound (treated),Pre,76156,24.04979765218771,0.0
2024-05-11,Manhattan control,Pre,41564,23.31457463189314,0.0
2024-05-12,CBD-bound (treated),Pre,61529,25.080813437566132,0.0
2024-05-12,Manhattan control,Pre,36556,24.060943210417022,0.0
2024-05-13,CBD-bound (treated),Pre,58416,28.627150438236296,0.0
2024-05-13,Manhattan control,Pre,40271,24.45207022423097,0.0
2024-05-14,CBD-bound (treated),Pre,72205,28.337923827989837,0.0
2024-05-14,Manhattan control,Pre,47286,24.66609990271975,0.0
2024-05-15,CBD-bound (treated),Pre,77218,28.289138672330225,0.0
2024-05-15,Manhattan control,Pre,48243,24.640144684203,0.0
2024-05-16,CBD-bound (treated),Pre,80080,27.27772827172836,0.0
2024-05-16,Manhattan control,Pre,48796,24.87900053283065,0.0
2024-05-17,CBD-bound (treated),Pre,73628,26.106974792198663,0.0
2024-05-17,Manhattan control,Pre,44932,23.943300097925913,0.0
2024-05-18,CBD-bound (treated),Pre,79932,25.13044675474169,0.0
2024-05-18,Manhattan control,Pre,43931,22.780892763652275,0.0
2024-05-19,CBD-bound (treated),Pre,62959,26.250439015867485,0.0
2024-05-19,Manhattan control,Pre,36539,24.492679328936397,0.0
2024-05-20,CBD-bound (treated),Pre,55519,27.683486374034203,0.0
2024-05-20,Manhattan control,Pre,38315,24.00112488581508,0.0
2024-05-21,CBD-bound (treated),Pre,65711,26.743280120527803,0.0
2024-05-21,Manhattan control,Pre,43616,24.095982896185024,0.0
2024-05-22,CBD-bound (treated),Pre,70543,26.4817168251989,0.0
