LocationID,Borough,Zone,ref_trips,frac_fee,in_crz
54,Brooklyn,Columbia Street,299,0.4080267558528428,False
55,Brooklyn,Coney Island,768,0.020833333333333332,False
56,Queens,Corona,826,0.16343825665859565,False
57,Queens,Corona,59,0.1016949152542373,False
58,Bronx,Country Club,30,0.13333333333333333,False
59,Bronx,Crotona Park,16,0.0625,False
60,Bronx,Crotona Park East,417,0.07913669064748201,False
61,Brooklyn,Crown Heights North,4912,0.10952768729641693,False
62,Brooklyn,Crown Heights South,1405,0.09466192170818505,False
63,Brooklyn,Cypress Hills,1007,0.039721946375372394,False
64,Queens,Douglaston,111,0.07207207207207207,False
65,Brooklyn,Downtown Brooklyn/MetroTech,3764,0.35494155154091395,False
66,Brooklyn,DUMBO/Vinegar Hill,3122,0.5105701473414478,False
67,Brooklyn,Dyker Heights,322,0.07763975155279502,False
68,Manhattan,East Chelsea,96954,0.9808981578893083,True
69,Bronx,East Concourse/Concourse Village,1096,0.07664233576642336,False
70,Queens,East Elmhurst,9212,0.4744897959183674,False
71,Brooklyn,East Flatbush/Farragut,1494,0.0428380187416332,False
72,Brooklyn,East Flatbush/Remsen Village,1875,0.031466666666666664,False
73,Queens,East Flushing,106,0.009433962264150943,False
74,Manhattan,East Harlem North,11897,0.21879465411448265,False
75,Manhattan,East Harlem South,25720,0.234447900466563,False
76,Brooklyn,East New York,3580,0.01564245810055866,False
77,Brooklyn,East New York/Pennsylvania Avenue,945,0.022222222222222223,False
78,Bronx,East Tremont,534,0.06928838951310862,False
79,Manhattan,East Village,96575,0.9842402278022262,True
80,Brooklyn,East Williamsburg,2973,0.2626976118398924,False
81,Bronx,Eastchester,393,0.03307888040712468,False
82,Queens,Elmhurst,2568,0.09462616822429906,False
83,Queens,Elmhurst/Maspeth,928,0.13254310344827586,False
84,Staten Island,Eltingville/Annadale/Prince's Bay,1,0.0,False
85,Brooklyn,Erasmus,1207,0.06793703396851698,False
86,Queens,Far Rockaway,482,0.01037344398340249,False
87,Manhattan,Financial District North,21186,0.9745114698385726,True
88,Manhattan,Financial District South,10541,0.9490560667868324,True
